statistic,observed,empirical_p_value_two_sided,percentile,permutations
similarity_clustering_spearman,0.01931474510163104,0.6273726273726273,99.30000000000001,1000
diversity_betweenness_spearman,0.01116488678142395,0.994005994005994,100.0,1000
diversity_participation_spearman,0.0815858996724773,0.8381618381618382,100.0,1000
similarity_clustering_regression,0.07938304488491185,0.22677322677322678,89.10000000000001,1000
diversity_betweenness_regression,0.017165783332563793,0.016983016983016984,98.5,1000
diversity_participation_regression,0.2922350413178068,0.000999000999000999,100.0,1000
