specification,outcome,predictor,coefficient,std_error,p_value,ci_low,ci_high,n
lcc_only: diversity-participation,participation_coefficient,diversity_complement,0.2922350413178004,0.0400608025554974,2.9913084400186023e-13,0.21371731111725537,0.3707527715183455,4099
complete_feature_coverage: similarity-clustering,clustering,similarity_jaccard_mean,0.07938304488491134,0.03882202724040925,0.04087518040107338,0.0032932696868763073,0.15547282008294638,4099
complete_feature_coverage: diversity-betweenness,log_betweenness,diversity_complement,0.017165783332563626,0.0057980773901168,0.0030704121508402208,0.0058017604683587055,0.028529806196768547,4099
complete_feature_coverage: diversity-participation,participation_coefficient,diversity_complement,0.2922350413178004,0.0400608025554974,2.9913084400186023e-13,0.21371731111725537,0.3707527715183455,4099
large_ego_networks: similarity-clustering,clustering,similarity_jaccard_mean,0.10717394223546327,0.04422787632139469,0.015383542318273616,0.02048889753283782,0.19385898693808873,3439
large_ego_networks: diversity-betweenness,log_betweenness,diversity_complement,0.012650577349123747,0.005615483673436659,0.024271585509739867,0.0016444315934152128,0.02365672310483228,3439
large_ego_networks: diversity-participation,participation_coefficient,diversity_complement,0.3185910586776576,0.041354374825879704,1.3194789625954006e-14,0.2375379734157635,0.39964414393955167,3439
high_modularity_egos: similarity-clustering,clustering,similarity_jaccard_mean,0.09328560470192594,0.04487325849961408,0.03762943640367955,0.005335634173726483,0.1812355752301254,3256
high_modularity_egos: diversity-betweenness,log_betweenness,diversity_complement,0.010313277630951995,0.004719794743597876,0.02888067444801343,0.0010626499190786991,0.01956390534282529,3256
high_modularity_egos: diversity-participation,participation_coefficient,diversity_complement,0.3098105194001925,0.039620665428858504,5.306838367330108e-15,0.2321554421161186,0.3874655966842664,3256
